"param_i","rho","n_clust","p","prev_thresh","A","B","K","w"
9,0.05,2,0.14,"prev_thresh1",1839.4350568212,2014.43688426688,2031.57123588696,2311.60732226629
10,0.05,2,0.15,"prev_thresh1",1264.04057471041,1448.56534963327,1426.15108416403,1773.57877684236
11,0.05,2,0.16,"prev_thresh1",1594.83858636368,1882.25928894467,1768.63493029405,2114.44131550428
12,0.05,2,0.17,"prev_thresh1",1318.28506123769,1662.82650239966,1493.54963681621,1977.57313348637
13,0.05,2,0.18,"prev_thresh1",1721.90167962192,2182.4512572188,1912.38698691349,2367.76010354097
14,0.05,2,0.19,"prev_thresh1",1427.2206218797,1888.75126520275,1610.64662216134,2024.51570283252
14,0.05,2,0.19,"prev_thresh2",3688.68879382179,3795.26063279644,3807.54943787882,4204.79036966649
15,0.05,2,0.2,"prev_thresh1",1666.71570372315,2122.51211334019,1877.8961704709,2255.51669441106
15,0.05,2,0.2,"prev_thresh2",3301.09220283161,3420.95692026241,3310.87311756092,3803.02703332348
22,0.05,3,0.12,"prev_thresh1",1828.13445674713,1958.02076821296,2036.42206673299,2294.50224786986
23,0.05,3,0.13,"prev_thresh1",4162.00144823224,4503.29922559897,4378.64045780621,5007.21500688825
24,0.05,3,0.14,"prev_thresh1",3096.57545157798,3254.19426242037,2927.60156414932,3190.65940927294
25,0.05,3,0.15,"prev_thresh1",4111.09089317309,4685.61815758408,4009.51177420774,4677.88243485319
26,0.05,3,0.16,"prev_thresh1",2306.07266151192,2737.66165839518,2311.71684419667,2703.35426430819
27,0.05,3,0.17,"prev_thresh1",3038.38380094929,3380.81123736841,2816.13818195318,3178.61489478642
27,0.05,3,0.17,"prev_thresh2",4666.15601967393,4677.41518228288,5253.07380188801,5415.51350418207
28,0.05,3,0.18,"prev_thresh1",4314.41156847631,5148.88619082758,4227.7832215503,4778.61749075666
28,0.05,3,0.18,"prev_thresh2",9551.2511767293,9650.334510579,10381.6586255686,12267.8425872047
29,0.05,3,0.19,"prev_thresh1",2258.07471486939,3192.81377422956,2304.0471995503,2605.09833337834
29,0.05,3,0.19,"prev_thresh2",4470.87225874775,5205.09971695827,4546.13197924404,5227.05355697952
30,0.05,3,0.2,"prev_thresh1",3933.96370437603,6435.21525011174,3655.98789396355,4202.73365622723
30,0.05,3,0.2,"prev_thresh2",4747.28332552289,5089.84095815489,4656.76581725439,5137.36617897089
30,0.05,3,0.2,"prev_thresh3",1468.41318367902,1681.51354965574,1625.08377896158,2366.52120365935
36,0.05,4,0.11,"prev_thresh1",2600.11635448772,2881.16371026421,3024.13992332796,3421.60563377504
37,0.05,4,0.12,"prev_thresh1",1634.84273160748,1954.58543070864,1843.28136961349,2492.71521807697
38,0.05,4,0.13,"prev_thresh1",1831.60017360638,2174.69474021835,1943.15416380476,2289.51125727465
39,0.05,4,0.14,"prev_thresh1",1918.70035840113,2478.16479541541,2144.86687822964,2581.25825514974
40,0.05,4,0.15,"prev_thresh1",1378.14918808309,1908.97264269789,1558.95939889268,1909.63056991279
41,0.05,4,0.16,"prev_thresh1",1745.9790829476,2816.01473431404,2020.37493987774,2465.99515838535
41,0.05,4,0.16,"prev_thresh2",4249.25979341882,4361.95594791314,4897.86677876916,4686.63556725515
42,0.05,4,0.17,"prev_thresh1",1245.27677225437,2618.87532741721,1382.35415558962,1854.09488513032
42,0.05,4,0.17,"prev_thresh2",2057.66566609848,2368.13234656041,2276.15157967151,2668.35227225447
43,0.05,4,0.18,"prev_thresh1",3064.6809842244,5583.8241110989,2798.20239313268,3169.51800317707
43,0.05,4,0.18,"prev_thresh2",3038.41768592201,3454.09216849365,2978.2281749682,3418.66805222505
44,0.05,4,0.19,"prev_thresh1",1541.30468054231,5918.29550707393,1866.43675508178,2592.32620761529
44,0.05,4,0.19,"prev_thresh2",2629.95339241412,2965.96679790333,2667.01473423199,2977.26176917115
44,0.05,4,0.19,"prev_thresh3",2383.15633465307,2835.93483418996,2580.81924125331,3869.07725085549
45,0.05,4,0.2,"prev_thresh1",1226.57699909068,7923.68580518068,1368.03178321506,1959.44872555801
45,0.05,4,0.2,"prev_thresh2",3379.02622918621,4268.70119779776,3307.64644658276,3793.31057430716
45,0.05,4,0.2,"prev_thresh3",2094.56878664488,2550.70168125487,2329.98825612284,2878.33008209069
51,0.05,5,0.11,"prev_thresh1",5137.36172459363,5710.52851305493,5802.40149040501,6271.91897947738
52,0.05,5,0.12,"prev_thresh1",5389.243164982,5939.53757337448,5481.97970223847,6059.17986755666
53,0.05,5,0.13,"prev_thresh1",6986.7340306129,8545.1607403356,6855.77157663281,7741.83200707781
54,0.05,5,0.14,"prev_thresh1",6888.03873217659,9105.22282868908,6650.3361703678,7254.5802412169
55,0.05,5,0.15,"prev_thresh1",4680.4831060549,5332.3153614516,4238.59700857707,4471.19155559485
55,0.05,5,0.15,"prev_thresh2",2162.54560030022,2266.80308585437,2328.31812490545,2484.22794236574
56,0.05,5,0.16,"prev_thresh1",6529.40668788641,12854.5784557866,6605.05489084156,7232.11305992354
56,0.05,5,0.16,"prev_thresh2",2182.07682754908,2425.31355192648,2288.39893131256,2605.26160177805
57,0.05,5,0.17,"prev_thresh1",6388.08699189213,12914.3630446399,6035.27052990241,6947.84372296497
57,0.05,5,0.17,"prev_thresh2",2955.94851712899,3308.81167850392,2875.14006117941,3254.51728202744
58,0.05,5,0.18,"prev_thresh1",7542.95008851602,22966.3921765014,6920.90355508839,7778.9723586458
58,0.05,5,0.18,"prev_thresh2",2308.7771818191,2854.65885400637,2539.89992848631,2891.3532030376
58,0.05,5,0.18,"prev_thresh3",3358.78487290634,3601.61579847991,3538.02116427456,3837.08724019031
59,0.05,5,0.19,"prev_thresh1",6797.22655578022,20259.414563066,5808.62390940467,6637.13950572464
59,0.05,5,0.19,"prev_thresh2",1772.72531506816,2440.33224537636,1935.30484343157,2265.58423402212
59,0.05,5,0.19,"prev_thresh3",3052.94753551072,3147.43354612515,2992.60734275818,3295.82478416594
60,0.05,5,0.2,"prev_thresh1",9572.27238962392,37061.9257633008,8796.57381731329,9981.75336553358
60,0.05,5,0.2,"prev_thresh2",1957.73886888947,2873.30763630822,2164.40794313886,2623.5199933856
60,0.05,5,0.2,"prev_thresh3",3618.97922251642,4034.04431312734,3337.44494819874,3963.26978196925
65,0.05,6,0.1,"prev_thresh1",1942.5565218268,2201.29866440526,2221.65151084555,2442.103566551
66,0.05,6,0.11,"prev_thresh1",3019.24205519335,3408.26665391884,3133.32157550038,3545.8568520289
67,0.05,6,0.12,"prev_thresh1",1548.14381896178,1949.89465841444,1670.9724317034,1929.20386783058
68,0.05,6,0.13,"prev_thresh1",2325.00558083401,3038.7437461134,2531.40505551487,2916.73114708327
69,0.05,6,0.14,"prev_thresh1",1424.28308815134,2182.83142165508,1621.86477600821,2070.36140309135
70,0.05,6,0.15,"prev_thresh1",2903.91822427045,4854.74245652596,2771.00463798994,3205.0595328427
70,0.05,6,0.15,"prev_thresh2",3313.14939704982,3401.11774842898,3310.39607034058,3653.34807715698
71,0.05,6,0.16,"prev_thresh1",3448.14421614192,9739.73759236883,3563.73713589388,4245.04426969515
71,0.05,6,0.16,"prev_thresh2",3508.99651171102,3930.24215237962,3464.04273595049,3891.24183275906
72,0.05,6,0.17,"prev_thresh1",2182.64949618774,6960.69146641053,2500.07013184876,3134.31460590549
72,0.05,6,0.17,"prev_thresh2",4564.39991848765,4688.1365262881,4295.30980278189,4840.31124097718
