"param_i","rho","n_clust","p","prev_thresh","A","B","K","w"
9,0.05,2,0.14,"prev_thresh1",1.0022,1.0022,1.0021,1.002
10,0.05,2,0.15,"prev_thresh1",1.0048,1.0043,1.0044,1.0036
11,0.05,2,0.16,"prev_thresh1",1.0062,1.0054,1.0057,1.0047
12,0.05,2,0.17,"prev_thresh1",1.0063,1.0055,1.0059,1.005
13,0.05,2,0.18,"prev_thresh1",1.0025,1.0018,1.0022,1.0015
14,0.05,2,0.19,"prev_thresh1",1.0116,1.0094,1.0096,1.0086
14,0.05,2,0.19,"prev_thresh2",1.0008,1.001,1.0008,1.0009
15,0.05,2,0.2,"prev_thresh1",1.0042,1.0039,1.0042,1.0038
15,0.05,2,0.2,"prev_thresh2",1.0025,1.0026,1.0024,1.0022
22,0.05,3,0.12,"prev_thresh1",1.01,1.0089,1.0089,1.0074
23,0.05,3,0.13,"prev_thresh1",1.002,1.0016,1.0019,1.0014
24,0.05,3,0.14,"prev_thresh1",1.0027,1.0028,1.0029,1.0027
25,0.05,3,0.15,"prev_thresh1",1.0022,1.0018,1.0023,1.0019
26,0.05,3,0.16,"prev_thresh1",1.0012,1.001,1.001,1.0009
27,0.05,3,0.17,"prev_thresh1",1.0031,1.0025,1.0024,1.0023
27,0.05,3,0.17,"prev_thresh2",1.0006,1.0007,1.0005,1.0007
28,0.05,3,0.18,"prev_thresh1",1.0012,1.001,1.0013,1.0012
28,0.05,3,0.18,"prev_thresh2",1.0009,1.0008,1.0008,1.0006
29,0.05,3,0.19,"prev_thresh1",1.0029,1.0017,1.0024,1.002
29,0.05,3,0.19,"prev_thresh2",1.0003,1.0003,1.0002,1.0002
30,0.05,3,0.2,"prev_thresh1",1.0013,1.0008,1.0012,1.0009
30,0.05,3,0.2,"prev_thresh2",1.0003,1.0004,1.0002,1.0003
30,0.05,3,0.2,"prev_thresh3",1.003,1.0031,1.0024,1.0023
36,0.05,4,0.11,"prev_thresh1",1.0019,1.0019,1.0018,1.0018
37,0.05,4,0.12,"prev_thresh1",1.0022,1.0016,1.0018,1.001
38,0.05,4,0.13,"prev_thresh1",1.0049,1.0041,1.0045,1.0038
39,0.05,4,0.14,"prev_thresh1",1.002,1.0017,1.002,1.0016
