"param_i","rho","n_clust","p","prev_thresh","A","B","K","w"
40,0.05,4,0.15,"prev_thresh1",1.0062,1.0044,1.0057,1.0042
41,0.05,4,0.16,"prev_thresh1",1.0037,1.0033,1.0036,1.0036
41,0.05,4,0.16,"prev_thresh2",1.0009,1.0008,1.0008,1.0007
42,0.05,4,0.17,"prev_thresh1",1.0049,1.0027,1.0045,1.0034
42,0.05,4,0.17,"prev_thresh2",1.0024,1.0025,1.0024,1.0024
43,0.05,4,0.18,"prev_thresh1",1.0008,1.0008,1.0009,1.0009
43,0.05,4,0.18,"prev_thresh2",1.0071,1.0071,1.007,1.0067
44,0.05,4,0.19,"prev_thresh1",1.0022,1.0013,1.0026,1.0021
44,0.05,4,0.19,"prev_thresh2",1.0027,1.0026,1.0026,1.0026
44,0.05,4,0.19,"prev_thresh3",1.0009,1.0007,1.0009,1.0005
45,0.05,4,0.2,"prev_thresh1",1.0018,1.0006,1.0015,1.0013
45,0.05,4,0.2,"prev_thresh2",1.0026,1.0028,1.0027,1.0025
45,0.05,4,0.2,"prev_thresh3",1.0028,1.0022,1.0023,1.002
51,0.05,5,0.11,"prev_thresh1",1.0007,1.0006,1.0006,1.0006
52,0.05,5,0.12,"prev_thresh1",1.0006,1.0006,1.0005,1.0006
53,0.05,5,0.13,"prev_thresh1",1.0007,1.0007,1.0006,1.0006
54,0.05,5,0.14,"prev_thresh1",1.0006,1.0006,1.0007,1.0006
55,0.05,5,0.15,"prev_thresh1",1.0004,1.0003,1.0004,1.0004
55,0.05,5,0.15,"prev_thresh2",1.004,1.0042,1.004,1.0039
56,0.05,5,0.16,"prev_thresh1",1.0009,1.0003,1.001,1.0009
56,0.05,5,0.16,"prev_thresh2",1.0026,1.0026,1.0023,1.0022
57,0.05,5,0.17,"prev_thresh1",1.0009,1.0004,1.0008,1.0007
57,0.05,5,0.17,"prev_thresh2",1.0016,1.0014,1.0015,1.0013
58,0.05,5,0.18,"prev_thresh1",1.0008,1.0004,1.001,1.001
58,0.05,5,0.18,"prev_thresh2",1.0018,1.0015,1.0018,1.0015
58,0.05,5,0.18,"prev_thresh3",1.0036,1.0034,1.0033,1.0028
59,0.05,5,0.19,"prev_thresh1",1.0014,1.0003,1.0014,1.0011
59,0.05,5,0.19,"prev_thresh2",1.0071,1.0054,1.0064,1.0053
59,0.05,5,0.19,"prev_thresh3",1.0022,1.0022,1.0023,1.0021
60,0.05,5,0.2,"prev_thresh1",1.0008,1.0002,1.0008,1.0006
60,0.05,5,0.2,"prev_thresh2",1.0028,1.002,1.0026,1.0022
60,0.05,5,0.2,"prev_thresh3",1.0003,1.0003,1.0003,1.0003
65,0.05,6,0.1,"prev_thresh1",1.0054,1.0048,1.0049,1.0041
66,0.05,6,0.11,"prev_thresh1",1.0018,1.0016,1.0016,1.0013
67,0.05,6,0.12,"prev_thresh1",1.0074,1.0069,1.0068,1.0066
68,0.05,6,0.13,"prev_thresh1",1.0028,1.0022,1.0025,1.0021
69,0.05,6,0.14,"prev_thresh1",1.0019,1.0017,1.002,1.0016
70,0.05,6,0.15,"prev_thresh1",1.0026,1.0021,1.003,1.0026
70,0.05,6,0.15,"prev_thresh2",1.003,1.0028,1.0031,1.0027
71,0.05,6,0.16,"prev_thresh1",1.001,1.0005,1.0011,1.0009
71,0.05,6,0.16,"prev_thresh2",1.0028,1.0023,1.0028,1.0021
72,0.05,6,0.17,"prev_thresh1",1.0131,1.0038,1.0101,1.0077
72,0.05,6,0.17,"prev_thresh2",1.001,1.0014,1.0015,1.0016
72,0.05,6,0.17,"prev_thresh3",1.0035,1.0033,1.0029,1.0027
73,0.05,6,0.18,"prev_thresh1",1.0013,1.0002,1.0013,1.0009
73,0.05,6,0.18,"prev_thresh2",1.0022,1.0014,1.0022,1.0019
73,0.05,6,0.18,"prev_thresh3",1.0018,1.0017,1.002,1.0018
74,0.05,6,0.19,"prev_thresh1",1.0034,1.0003,1.0034,1.0026
74,0.05,6,0.19,"prev_thresh2",1.0009,1.001,1.0011,1.0011
74,0.05,6,0.19,"prev_thresh3",1.0014,1.0011,1.0012,1.0011
75,0.05,6,0.2,"prev_thresh1",1.0009,1.0001,1.0007,1.0004
75,0.05,6,0.2,"prev_thresh2",1.0017,1.0008,1.0018,1.0015
75,0.05,6,0.2,"prev_thresh3",1.0031,1.0024,1.0031,1.0027
80,0.05,7,0.1,"prev_thresh1",1.0048,1.0043,1.0039,1.0038
81,0.05,7,0.11,"prev_thresh1",1.0015,1.0014,1.0016,1.0014
82,0.05,7,0.12,"prev_thresh1",1.0015,1.0012,1.0014,1.0011
83,0.05,7,0.13,"prev_thresh1",1.0012,1.0009,1.0012,1.0009
84,0.05,7,0.14,"prev_thresh1",1.001,1.0005,1.001,1.0008
84,0.05,7,0.14,"prev_thresh2",1.0018,1.0017,1.0018,1.0015
85,0.05,7,0.15,"prev_thresh1",1.0007,1.0004,1.0009,1.0007
85,0.05,7,0.15,"prev_thresh2",1.0021,1.0022,1.0021,1.0021
86,0.05,7,0.16,"prev_thresh1",1.0077,1.002,1.0056,1.0039
86,0.05,7,0.16,"prev_thresh2",1.0026,1.0022,1.0025,1.0021
87,0.05,7,0.17,"prev_thresh1",1.0007,1.0001,1.0009,1.0008
87,0.05,7,0.17,"prev_thresh2",1.0014,1.001,1.0012,1.001
87,0.05,7,0.17,"prev_thresh3",1.008,1.0065,1.0068,1.0053
88,0.05,7,0.18,"prev_thresh1",1.0003,1.0001,1.0003,1.0001
88,0.05,7,0.18,"prev_thresh2",1.0032,1.0027,1.0034,1.0032
88,0.05,7,0.18,"prev_thresh3",1.0049,1.0045,1.0046,1.004
89,0.05,7,0.19,"prev_thresh1",1.0022,1.0005,1.0026,1.0022
89,0.05,7,0.19,"prev_thresh2",1.0018,1.0014,1.0014,1.0013
89,0.05,7,0.19,"prev_thresh3",1.0032,1.0026,1.0031,1.0025
90,0.05,7,0.2,"prev_thresh1",1.0011,1.0002,1.0012,1.0009
90,0.05,7,0.2,"prev_thresh2",1.0042,1.0019,1.0037,1.0034
90,0.05,7,0.2,"prev_thresh3",1.0033,1.0029,1.0033,1.0031
95,0.05,8,0.1,"prev_thresh1",1.0018,1.0014,1.0014,1.0011
96,0.05,8,0.11,"prev_thresh1",1.004,1.0034,1.0035,1.0031
97,0.05,8,0.12,"prev_thresh1",1.0036,1.0029,1.0035,1.0031
98,0.05,8,0.13,"prev_thresh1",1.005,1.0035,1.0047,1.0041
99,0.05,8,0.14,"prev_thresh1",1.0017,1.0012,1.0021,1.0018
99,0.05,8,0.14,"prev_thresh2",1.0035,1.003,1.0032,1.0023
100,0.05,8,0.15,"prev_thresh1",1.0015,1.0004,1.0015,1.0013
100,0.05,8,0.15,"prev_thresh2",1.0046,1.0042,1.0043,1.0036
101,0.05,8,0.16,"prev_thresh1",1.0112,1.0036,1.011,1.0084
101,0.05,8,0.16,"prev_thresh2",1.0064,1.0059,1.0062,1.0056
101,0.05,8,0.16,"prev_thresh3",1.0043,1.004,1.0039,1.0033
102,0.05,8,0.17,"prev_thresh1",1.0006,1.0001,1.0007,1.0007
102,0.05,8,0.17,"prev_thresh2",1.001,1.0011,1.0011,1.001
102,0.05,8,0.17,"prev_thresh3",1.0039,1.0035,1.0037,1.0033
103,0.05,8,0.18,"prev_thresh1",1.001,1.0003,1.0008,1.0007
103,0.05,8,0.18,"prev_thresh2",1.0018,1.0013,1.0018,1.0016
103,0.05,8,0.18,"prev_thresh3",1.0015,1.0013,1.0013,1.0011
104,0.05,8,0.19,"prev_thresh1",1.0009,1,1.0011,1.0008
104,0.05,8,0.19,"prev_thresh2",1.0015,1.0007,1.0015,1.0014
104,0.05,8,0.19,"prev_thresh3",1.0016,1.0015,1.0014,1.0012
105,0.05,8,0.2,"prev_thresh1",1.0058,1.0009,1.0044,1.0028
105,0.05,8,0.2,"prev_thresh2",1.0016,1.0002,1.0015,1.0011
105,0.05,8,0.2,"prev_thresh3",1.0035,1.0025,1.0036,1.0032
109,0.05,9,0.09,"prev_thresh1",1.0087,1.008,1.0074,1.0065
110,0.05,9,0.1,"prev_thresh1",1.0071,1.006,1.0061,1.0047
111,0.05,9,0.11,"prev_thresh1",1.0034,1.0028,1.0032,1.0026
112,0.05,9,0.12,"prev_thresh1",1.0039,1.0019,1.0034,1.0024
113,0.05,9,0.13,"prev_thresh1",1.006,1.0036,1.005,1.0038
113,0.05,9,0.13,"prev_thresh2",1.0025,1.0025,1.0022,1.0022
114,0.05,9,0.14,"prev_thresh1",1.0004,1.0002,1.0005,1.0005
114,0.05,9,0.14,"prev_thresh2",1.0022,1.0019,1.0019,1.0015
115,0.05,9,0.15,"prev_thresh1",1.0041,1.001,1.0032,1.0025
115,0.05,9,0.15,"prev_thresh2",1.0016,1.0016,1.0016,1.0016
116,0.05,9,0.16,"prev_thresh1",1.002,1.0002,1.002,1.0016
116,0.05,9,0.16,"prev_thresh2",1.0047,1.0033,1.0041,1.003
116,0.05,9,0.16,"prev_thresh3",1.0013,1.0011,1.0012,1.001
117,0.05,9,0.17,"prev_thresh1",1.0056,1.0005,1.005,1.0038
117,0.05,9,0.17,"prev_thresh2",1.0018,1.0014,1.0015,1.0012
117,0.05,9,0.17,"prev_thresh3",1.0026,1.0024,1.0024,1.0022
118,0.05,9,0.18,"prev_thresh1",1.0006,1.0001,1.0006,1.0006
118,0.05,9,0.18,"prev_thresh2",1.0079,1.0043,1.0075,1.0064
118,0.05,9,0.18,"prev_thresh3",1.0052,1.0042,1.0045,1.004
119,0.05,9,0.19,"prev_thresh1",1.0035,1.0003,1.002,1.0012
119,0.05,9,0.19,"prev_thresh2",1.0049,1.0013,1.0036,1.0027
119,0.05,9,0.19,"prev_thresh3",1.0019,1.0018,1.0019,1.0017
120,0.05,9,0.2,"prev_thresh1",1.006,1.0008,1.0037,1.0016
120,0.05,9,0.2,"prev_thresh2",1.003,1.0007,1.0026,1.002
120,0.05,9,0.2,"prev_thresh3",1.0019,1.0018,1.0023,1.0022
124,0.05,10,0.09,"prev_thresh1",1.0011,1.0014,1.001,1.0012
125,0.05,10,0.1,"prev_thresh1",1.0023,1.0019,1.0019,1.0015
126,0.05,10,0.11,"prev_thresh1",1.0039,1.0025,1.0028,1.0023
127,0.05,10,0.12,"prev_thresh1",1.0013,1.0007,1.0015,1.0015
128,0.05,10,0.13,"prev_thresh1",1.002,1.0008,1.0017,1.0014
128,0.05,10,0.13,"prev_thresh2",1.0051,1.0042,1.0044,1.0033
129,0.05,10,0.14,"prev_thresh1",1.001,1.0005,1.001,1.001
129,0.05,10,0.14,"prev_thresh2",1.0029,1.0026,1.003,1.0025
130,0.05,10,0.15,"prev_thresh1",1.0011,1.0003,1.0014,1.0012
130,0.05,10,0.15,"prev_thresh2",1.0006,1.0006,1.0006,1.0006
131,0.05,10,0.16,"prev_thresh1",1.0001,1.0001,1.0001,1.0001
131,0.05,10,0.16,"prev_thresh2",1.0029,1.0021,1.003,1.0026
131,0.05,10,0.16,"prev_thresh3",1.0072,1.0063,1.0065,1.0054
132,0.05,10,0.17,"prev_thresh1",1.0002,1.0002,1.0003,1.0002
132,0.05,10,0.17,"prev_thresh2",1.0022,1.0016,1.0024,1.0021
132,0.05,10,0.17,"prev_thresh3",1.0043,1.004,1.0039,1.0038
133,0.05,10,0.18,"prev_thresh1",1.0077,1.0005,1.004,1.0023
133,0.05,10,0.18,"prev_thresh2",1.0019,1.0009,1.0017,1.0014
133,0.05,10,0.18,"prev_thresh3",1.0028,1.0023,1.0029,1.0026
134,0.05,10,0.19,"prev_thresh1",1.0071,1.0012,1.0049,1.002
134,0.05,10,0.19,"prev_thresh2",1.0042,1.0014,1.0043,1.0038
134,0.05,10,0.19,"prev_thresh3",1.0012,1.0009,1.0012,1.0009
135,0.05,10,0.2,"prev_thresh1",1.0009,1.0001,1.001,1.0006
135,0.05,10,0.2,"prev_thresh2",1.0017,1.0005,1.0021,1.0017
135,0.05,10,0.2,"prev_thresh3",1.0037,1.0022,1.0031,1.0025
139,0.05,15,0.09,"prev_thresh1",1.0034,1.003,1.0032,1.0026
140,0.05,15,0.1,"prev_thresh1",1.0017,1.0016,1.002,1.0017
141,0.05,15,0.11,"prev_thresh1",1.0026,1.0018,1.0023,1.0021
142,0.05,15,0.12,"prev_thresh1",1.0058,1.0023,1.0049,1.0037
142,0.05,15,0.12,"prev_thresh2",1.0023,1.0023,1.0023,1.0022
143,0.05,15,0.13,"prev_thresh1",1.0026,1.0005,1.0028,1.0022
143,0.05,15,0.13,"prev_thresh2",1.0046,1.0039,1.004,1.0035
144,0.05,15,0.14,"prev_thresh1",1.0056,1.0008,1.0046,1.0029
144,0.05,15,0.14,"prev_thresh2",1.002,1.0019,1.0021,1.002
145,0.05,15,0.15,"prev_thresh1",1.0001,1,1.0003,1.0002
145,0.05,15,0.15,"prev_thresh2",1.0019,1.0011,1.0017,1.0013
145,0.05,15,0.15,"prev_thresh3",1.0055,1.0047,1.0053,1.0043
146,0.05,15,0.16,"prev_thresh1",1.0019,1.0008,1.0032,1.002
146,0.05,15,0.16,"prev_thresh2",1.0035,1.0013,1.0026,1.0019
146,0.05,15,0.16,"prev_thresh3",1.0036,1.0029,1.0035,1.003
147,0.05,15,0.17,"prev_thresh1",1.0049,1.0009,1.0049,1.0019
147,0.05,15,0.17,"prev_thresh2",1.0017,1.0004,1.0017,1.0012
147,0.05,15,0.17,"prev_thresh3",1.0066,1.0049,1.006,1.0052
148,0.05,15,0.18,"prev_thresh1",1.0053,1.0015,1.0045,1.0021
148,0.05,15,0.18,"prev_thresh2",1.0043,1.0008,1.004,1.0032
148,0.05,15,0.18,"prev_thresh3",1.003,1.0026,1.0035,1.0036
149,0.05,15,0.19,"prev_thresh1",1.0019,1.0004,1.0016,1.001
149,0.05,15,0.19,"prev_thresh2",1.0024,1.0002,1.0026,1.002
149,0.05,15,0.19,"prev_thresh3",1.0008,1.0004,1.0009,1.0009
150,0.05,15,0.2,"prev_thresh1",1.0035,1.0015,1.0041,1.0003
150,0.05,15,0.2,"prev_thresh2",1.0082,1.0022,1.0077,1.0042
150,0.05,15,0.2,"prev_thresh3",1.0004,1.0002,1.0005,1.0004
153,0.05,20,0.08,"prev_thresh1",1.0059,1.0053,1.0056,1.0048
154,0.05,20,0.09,"prev_thresh1",1.002,1.0017,1.002,1.0018
155,0.05,20,0.1,"prev_thresh1",1.0024,1.0018,1.0025,1.0023
156,0.05,20,0.11,"prev_thresh1",1.0014,1.0003,1.0014,1.0013
157,0.05,20,0.12,"prev_thresh1",1.0047,1.0012,1.0056,1.0047
157,0.05,20,0.12,"prev_thresh2",1.003,1.0024,1.0024,1.0016
158,0.05,20,0.13,"prev_thresh1",1.0103,1.0015,1.0083,1.0059
158,0.05,20,0.13,"prev_thresh2",1.0067,1.0052,1.0062,1.0052
159,0.05,20,0.14,"prev_thresh1",1.0018,1.0001,1.0011,1.0006
159,0.05,20,0.14,"prev_thresh2",1.003,1.0022,1.0027,1.0023
159,0.05,20,0.14,"prev_thresh3",1.0014,1.0012,1.0012,1.0009
160,0.05,20,0.15,"prev_thresh1",1.0131,1.0016,1.008,1.0035
160,0.05,20,0.15,"prev_thresh2",1.0009,1.0006,1.0008,1.0007
160,0.05,20,0.15,"prev_thresh3",1.0038,1.0033,1.0035,1.0029
161,0.05,20,0.16,"prev_thresh1",1.0089,1.0026,1.0081,1.0038
161,0.05,20,0.16,"prev_thresh2",1.0064,1.0016,1.0068,1.0061
161,0.05,20,0.16,"prev_thresh3",1.0035,1.0029,1.0032,1.0026
162,0.05,20,0.17,"prev_thresh1",1.001,1.0001,1.0009,1.0004
162,0.05,20,0.17,"prev_thresh2",1.0042,1.001,1.004,1.0032
162,0.05,20,0.17,"prev_thresh3",1.0073,1.0041,1.0058,1.0044
163,0.05,20,0.18,"prev_thresh1",1.0027,1.0008,1.0032,1.0011
163,0.05,20,0.18,"prev_thresh2",1.0076,1.0008,1.006,1.0035
163,0.05,20,0.18,"prev_thresh3",1.0009,1.0004,1.0012,1.0011
164,0.05,20,0.19,"prev_thresh1",1.003,1.001,1.0029,1.0008
164,0.05,20,0.19,"prev_thresh2",1.0028,1.0005,1.0023,1.0011
164,0.05,20,0.19,"prev_thresh3",1.0006,1.0001,1.0007,1.0007
165,0.05,20,0.2,"prev_thresh1",1.0046,1.0009,1.0045,1.0005
165,0.05,20,0.2,"prev_thresh2",1.0052,1.0009,1.0055,1.0029
165,0.05,20,0.2,"prev_thresh3",1.0024,1.0004,1.0028,1.0027
