"n_clust","0.01","0.02","0.03","0.04","0.05"
2,1254,134,57,35,25
3,292,57,29,19,14
4,135,35,19,13,10
5,82,25,14,10,8
6,58,19,11,8,6
7,44,16,10,7,5
8,35,13,8,6,5
9,29,12,7,5,5
10,25,10,6,5,5
