"n_clust","0.01","0.02","0.03","0.04","0.05"
2,NA,NA,NA,522,188
3,NA,NA,299,95,47
4,NA,528,96,40,23
5,NA,191,48,23,14
6,NA,96,29,15,10
7,1092,59,21,12,8
8,531,40,16,9,6
9,302,29,12,8,5
10,192,23,10,6,5
