CONTINENT_NAME,COUNTRY_NAME,ADMIN1_NAME,SITE_NAME,LONGITUDE,LATITUDE,YEAR_START,YEAR_END,HRP2_TESTED,HRP2_NUM_DELETION,CITATION_URL,study_ID
Africa,Democratic Republic of the Congo,Kinshasa,Kinshasa,,,2005,2005,6,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Gambia,Banjul,Banjul LGA,,,2005,2005,2,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Kenya,Kilifi,"Kilifi, Coast Province",,,2005,2005,12,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Mozambique,Sofala,"Beira, Sofala",,,2005,2005,19,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Rwanda,Umujyi wa Kigali,"Kigali, Kigali",,,2005,2005,10,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Rwanda,Amajyepfo,"Nyanza, Southern Province",,,2005,2005,5,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,United Republic of Tanzania,Tanga,"Korogwe, Tanga",,,2005,2005,3,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,United Republic of Tanzania,Tanga,"Muheza, Tanga",,,2005,2005,15,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Uganda,Mbarara,"Mbarara, Western Region",,,2005,2005,5,0,https://www.ncbi.nlm.nih.gov/pubmed/22898068,31
Africa,Eritrea,Gash Barka,Agordat,,,2019,2019,100,15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Gash Barka,Shambuko,,,2019,2019,100,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Gash Barka,Tesseney,,,2019,2019,105,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Gash Barka,Tokombia,,,2019,2019,106,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Gash Barka,Barentu,,,2019,2019,101,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Anseba,Keren,,,2019,2020,78,22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Anseba,Hagaz,,,2019,2020,29,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Debub,Mendefara,,,2019,2020,43,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Eritrea,Debub,MaiMine,,,2019,2020,53,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8548324/,40
Africa,Ethiopia,Benshangul-Gumaz,Sherkole Health Centre,,,2018,2018,94,14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/,47
Africa,Ethiopia,Benshangul-Gumaz,Bambasi Health Centre,,,2018,2018,66,9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/,47
Africa,Ethiopia,Benshangul-Gumaz,Kurmuk Health Centre,,,2018,2018,42,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/,47
Africa,Ethiopia,Benshangul-Gumaz,Assosa Health Centre,,,2018,2018,16,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/,47
Africa,Ethiopia,Tigray,Ahferom,,,2017,2018,117,18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/,48
Africa,Ethiopia,Tigray,Atseged Tsimbila,,,2017,2018,160,48,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/,48
