"n_clust","0.08","0.09","0.1","0.11","0.12","0.13","0.14","0.15","0.16","0.17","0.18","0.19","0.2"
2,NA,NA,NA,NA,NA,NA,161,69,39,28,21,17,14
3,NA,NA,NA,NA,295,76,40,27,19,15,12,9,9
4,NA,NA,NA,292,65,33,22,15,12,10,9,7,6
5,NA,NA,NA,82,38,22,16,11,9,6,5,5,5
6,NA,NA,248,47,25,16,12,10,8,7,6,5,5
7,NA,NA,100,33,20,14,10,8,6,5,5,5,5
8,NA,NA,53,24,15,11,8,7,5,5,5,5,5
9,NA,317,40,20,12,10,7,6,5,5,5,5,5
10,NA,120,30,16,12,7,6,5,5,5,5,5,5
15,NA,32,16,9,6,5,5,5,5,5,5,5,5
20,73,19,10,7,5,5,5,5,5,5,5,5,5
