"n_clust","0.14","0.15","0.16","0.17","0.18","0.19","0.2"
3,NA,NA,NA,NA,NA,NA,335
4,NA,NA,NA,NA,NA,123,53
5,NA,NA,NA,NA,130,48,29
6,NA,NA,NA,258,58,31,21
7,NA,NA,NA,83,35,21,16
8,NA,NA,272,51,26,18,13
9,NA,NA,113,37,21,14,10
10,NA,NA,66,28,18,12,9
15,NA,56,22,13,9,7,5
20,96,25,13,9,7,5,5
