"n_clust","0.12","0.13","0.14","0.15","0.16","0.17","0.18","0.19","0.2"
2,NA,NA,NA,NA,NA,NA,NA,260,99
3,NA,NA,NA,NA,NA,257,69,44,31
4,NA,NA,NA,NA,143,56,33,24,18
5,NA,NA,NA,198,56,32,21,16,13
6,NA,NA,NA,74,34,22,17,12,10
7,NA,NA,143,41,25,17,13,10,8
8,NA,NA,75,30,19,14,10,9,7
9,NA,462,48,25,16,12,9,7,6
10,NA,136,36,21,14,10,8,6,5
15,191,31,17,10,8,6,5,5,5
20,49,19,11,8,6,5,5,5,5
